Institution Name,Product Name,State,Annual Fee,Rewards,is_student,accepts_itin,Reward_Type
Discover,Discover It® Student Cash Back,,,Cashback rewards; Other rewards,TRUE,FALSE,Cashback
Discover,Discover It® Student Chrome,,,Cashback rewards; Other rewards,TRUE,FALSE,Cashback
Discover,Discover It® Miles,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Discover,Discover it® Chrome Gas & Restaurant Credit Card,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Discover,NHL® Discover It® Credit Card,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Discover,NHL® Discover It® Credit Card,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
"Capital One, National Association",REI Co-op Mastercard,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Cabela's CLUB Card,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Bass Pro Shop's CLUB Card,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Quicksilver Secured Rewards,,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Platinum Secured,,,,FALSE,FALSE,General
"Capital One, National Association",Quicksilver Rewards (ranged APR offering),,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Quicksilver Rewards for Good Credit,,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",QuicksilverOne Rewards,,39,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Quicksilver Rewards (targeted offering for existing customers - PMC),,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Quicksilver Rewards for Students,,,Cashback rewards,TRUE,FALSE,Cashback
"Capital One, National Association",Quicksilver Rewards (non-ranged APR offering),,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Savor Rewards,,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Savor Rewards for Good Credit,,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Savor Rewards for Students,,,Cashback rewards,TRUE,FALSE,Cashback
"Capital One, National Association",Savor Rewards (targeted offering for existing customers - PMC),,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Venture Rewards,,95,Travel-related rewards,FALSE,FALSE,Travel
"Capital One, National Association",Venture X Rewards,,395,Travel-related rewards,FALSE,FALSE,Travel
"Capital One, National Association",VentureOne Rewards,,,Travel-related rewards,FALSE,FALSE,Travel
"Capital One, National Association",VentureOne Rewards for Good Credit,,,Travel-related rewards,FALSE,FALSE,Travel
"Capital One, National Association",SavorOne Rewards,,39,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Platinum Mastercard,,,,FALSE,FALSE,General
"Capital One, National Association",Platinum Mastercard (targeted offering via pre-screen direct mail),,,,FALSE,FALSE,General
"Capital One, National Association",The Key Rewards Visa,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",West Elm Key Rewards Visa,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Pottery Barn Key Rewards Visa,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Williams Sonoma Key Rewards Visa,,,Other rewards,FALSE,FALSE,General
"Capital One, National Association",Teamsters Rate Advantage - Internet,,,,FALSE,FALSE,General
"Capital One, National Association",Teamsters Cash Rewards,,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Teamsters Primary Access - Internet,,,,FALSE,FALSE,General
"Capital One, National Association",Teamsters Primary Access - Direct Mail,,,,FALSE,FALSE,General
"Capital One, National Association",Teamsters Rate Advantage (targeted offering via pre-screen direct mail),,,,FALSE,FALSE,General
"Capital One, National Association",Union Plus Rate Advantage - Internet,,,,FALSE,FALSE,General
"Capital One, National Association",Union Plus Cash Rewards,,,Cashback rewards,FALSE,FALSE,Cashback
"Capital One, National Association",Union Plus Primary Access - Internet,,,,FALSE,FALSE,General
"Capital One, National Association",Union Plus Primary Access - Direct Mail,,,,FALSE,FALSE,General
"Capital One, National Association",Union Plus Rate Advantage (targeted offering via pre-screen direct mail),,,,FALSE,FALSE,General
Central Willamette Credit Union,Visa Platinum,,,Travel-related rewards,FALSE,FALSE,Travel
"Citibank, N.A.",The Just Tires Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Dillard's Mastercard,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Dillard's Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Tractor Supply Visa,,,,FALSE,FALSE,General
"Citibank, N.A.",Bloomingdale's American Express,,,,FALSE,FALSE,General
"Citibank, N.A.",Bloomingdale's Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Macy's American Express,,,,FALSE,FALSE,General
"Citibank, N.A.",Macy's Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Wayfair Mastercard,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Wayfair Credit Card,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Volkswagen Service Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Tractor Supply Company Private Label,,,,FALSE,FALSE,General
"Citibank, N.A.",Ross Simmons Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",My Best Buy Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",The Home Depot Consumer Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",My Best Buy Visa,,,,FALSE,FALSE,General
"Citibank, N.A.",The Goodyear Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Meijer Mastercard,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Meijer Credit Card,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",LL Bean Mastercard,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Jewelers Reserve Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Citi Rewards Plus,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Citi Strata Premier,,95,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Citi Double Cash,,,Cashback rewards,FALSE,FALSE,Cashback
"Citibank, N.A.",Home Furnishings,,,,FALSE,FALSE,General
"Citibank, N.A.",Citi Custom Cash Card,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
"Citibank, N.A.",Citi Simplicity Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Electronics & Appliance Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Citi Secured Mastercard,,,,FALSE,FALSE,General
"Citibank, N.A.",Drive Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Citi Diamond Preferred Card,,,,FALSE,FALSE,General
"Citibank, N.A.",BrandSource Credit Card,,,,FALSE,FALSE,General
"Citibank, N.A.",Sunoco Rewards Card,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Shell Fuel Rewards Mastercard,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Shell Fuel Rewards Card,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",Exxon Mobil Smart Card+,,,,FALSE,FALSE,General
"Citibank, N.A.",Costco Anywhere Visa Card by Citi,,,Cashback rewards,FALSE,FALSE,Cashback
"Citibank, N.A.",Citi AAdvantage Platinum Select World Elite Mastercard,,99,Travel-related rewards,FALSE,FALSE,Travel
"Citibank, N.A.",Citi AAdvantage Executive World Elite Mastercard,,595,Travel-related rewards,FALSE,FALSE,Travel
"Citibank, N.A.",American Airlines AAdvantage MileUp Card,,,Travel-related rewards,FALSE,FALSE,Travel
"Citibank, N.A.",Shop Your Way Mastercard,,,Other rewards,FALSE,FALSE,General
"Citibank, N.A.",AT&T Points Plus Card,,,Other rewards,FALSE,FALSE,General
"Citizens Bank, National Association",Citizens Amp,,,,FALSE,FALSE,General
"Citizens Bank, National Association",Citizens Amp,,,,FALSE,FALSE,General
"Citizens Bank, National Association",Citizens Spring,,,,FALSE,FALSE,General
"Citizens Bank, National Association",Citizens Summit,,,Cashback rewards,FALSE,FALSE,Cashback
"Citizens Bank, National Association",Citizens Summit Reserve,,295,Cashback rewards,FALSE,FALSE,Cashback
"Citizens Bank, National Association",Citizens Summit Reserve Private Bank,,295,Cashback rewards,FALSE,FALSE,Cashback
Coca-Cola Credit Union,Coca-Cola Credit Union Visa Platinum,,,,FALSE,FALSE,General
Coloramo Federal Credit Union,Visa Classic,CO,,,FALSE,FALSE,General
Comenity Bank,New York Yankees Mastercard®,,,Other rewards,FALSE,FALSE,General
Comenity Bank,Bread Rewards™ American Express®,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Comenity Bank,Bread Rewards™ American Express®,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Comenity Bank,Victoria's Secret Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Bank,Caesars Rewards Visa,,,Other rewards,FALSE,FALSE,General
Comenity Bank,Caesars Rewards Visa,,,Other rewards,FALSE,FALSE,General
Comenity Bank,Sportsman's Guide Buyer's Club Rewards Visae,,,Other rewards,FALSE,FALSE,General
Comenity Bank,Ann Taylor Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Bank,PlayStation Visa,,,Other rewards,FALSE,FALSE,General
Comenity Bank,PlayStation Visa,,,Other rewards,FALSE,FALSE,General
Comenity Bank,LOFT Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,AAA Daily Advantage Visa Signature,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Comenity Capital Bank,AAA Travel Advantage Visa Signature,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Comenity Capital Bank,Ross Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Saks Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Hard Rock Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Good Sam Travel Visa Signature Card,,249,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Good Sam Travel Visa Signature Card,,249,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Crypto.com Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Petco Pay Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Sephora Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Good Sam Rewards Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Interval World Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,IKEA Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Houzz Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Ulta Beauty Rewards Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Sportsman's Warehouse Explorewards Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Penn National Gaming mycash Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Lands' End Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Good Sam Coast to Coast Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Worldwide Vacation & Travel Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Toyota Rewards Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Lexus Pursuits Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,NFL Extra Points Visa,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,NFL Green Bay Packers Extra Points Mastercard,,,Other rewards,FALSE,FALSE,General
Comenity Capital Bank,Bread Cashback American Express,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Communityamerica Federal Credit Union,Platinum Low Rate,,,,FALSE,FALSE,General
Community Resource Credit Union,MemberSelect Rewards MasterCard®,TX,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Cpm Federal Credit Union,MyRate Visa Card,,,,FALSE,FALSE,General
"Credit One Bank, National Association",Platinum X5 Visa,,95,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Credit One Bank American Express Card,,39,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Platinum Visa for Rebuilding Credit,,75,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Credit One Bank Wander Card,,95,Cashback rewards; Travel-related rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Platinum Rewards Visa with No Annual Fee,,,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Platinum Visa,,39,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Secured Card,,,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",NASCAR American Express Card,,,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Vegas Golden Knights Credit Card,,75,Cashback rewards,FALSE,FALSE,Cashback
"Credit One Bank, National Association",Best Friends Credit Card,,,Cashback rewards,FALSE,FALSE,Cashback
Dakotaland Federal Credit Union,Cash Back VISA,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Del-One Federal Credit Union,Rewards Visa,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
Del-One Federal Credit Union,Share Secured Visa,,,,FALSE,FALSE,General
Destinations Credit Union,Consumer Credit Card,MD,,,FALSE,FALSE,General
Dupaco Community Credit Union,Dupaco Platinum Visa/Dupaco Rewards Visa,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Educators Credit Union,Visa Signature,WI,,Cashback rewards,FALSE,FALSE,Cashback
Educators Credit Union,Visa Platinum,WI,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Electel Cooperative Federal Credit Union,Credit Card,,,,FALSE,FALSE,General
